"Reversed left context";"Reversed center";"Left context";"Center";"Punct";"Right context";"Title";"Author";"Birthday";"Header";"Created";"Sphere";"Type";"Topic";"Publication";"Publ_year";"Medium";"Ambiguity";"Full context"
" йокстнаргимэ бо ,ерутьлук йенжерп йоннёнархос о";"ексот";"о сохранённой прежней культуре, об эмигрантской";"тоске";" ";"по потерянной родине?";"Запись LiveJournal (2004)";"";"";"Запись LiveJournal";"2004";"нехудожественная | электронная коммуникация";"блог";"частная жизнь";"";"2004";"электронный текст";"омонимия снята";"Или о взаимоотношениях Китая и Тайваня, о сохранённой прежней культуре, об эмигрантской тоске по потерянной родине?"
" ― еммаргорп оп ";"аксот";"по программе ―";"тоска";" ";"зелёная";"Наши дети: Подростки (2004)";"";"";"Наши дети: Подростки";"2004";"нехудожественная | электронная коммуникация";"форум";"частная жизнь";"";"2004";"электронный текст";"омонимия снята";"justmyself, 2004. 09. 1304: 28.  по программе ― тоска зелёная  Mezya, 2004. 09. 1309: 37."
" ";"аксот";"";"тоска";" ";"зелёная ― быт:-)";"Наши дети: Подростки (2004)";"";"";"Наши дети: Подростки";"2004";"нехудожественная | электронная коммуникация";"форум";"частная жизнь";"";"2004";"электронный текст";"омонимия снята";"тоска зелёная ― быт:-)  Sonya, 2004. 09. 1309: 40."
" то олрёпирп янем кат ,)амод то";"иксот";"от дома), так меня припёрло от";"тоски";", ";"что враз мне открылась вся суть";"Наши дети: Подростки (2004)";"";"";"Наши дети: Подростки";"2004";"нехудожественная | электронная коммуникация";"форум";"частная жизнь";"";"2004";"электронный текст";"омонимия снята";"А спустя несколько лет, когда я уже была женой военного геодезиста (кто не знает ― это 4 - 7 месяцев полевых работ вдали от дома), так меня припёрло от тоски, что враз мне открылась вся суть этого явления."
" и ьтселерп ман алазакоп ""акйаЧ"" яаксвонйатШ";"уксот";"Штайновская ""Чайка"" показала нам прелесть и";"тоску";" ";"разъятой, обречённой исчезновению некогда единой культуры";"Спасительная эстафета игры // «Экран и сцена», 2004.05.06";"";"";"Спасительная эстафета игры";"2004";"нехудожественная | публицистика";"статья";"искусство и культура";"«Экран и сцена»";"2004.05.06";"газета";"омонимия снята";"Штайновская ""Чайка"" показала нам прелесть и тоску разъятой, обречённой исчезновению некогда единой культуры быта и бытия, жизни и творчества."
" о аттолраШ яаксвохеч как ,икцемен-оп алировогаз";"ексот";"заговорила по-немецки, как чеховская Шарлотта о";"тоске";" ";"одиночества, о безотцовщине.";"Спасительная эстафета игры // «Экран и сцена», 2004.05.06";"";"";"Спасительная эстафета игры";"2004";"нехудожественная | публицистика";"статья";"искусство и культура";"«Экран и сцена»";"2004.05.06";"газета";"омонимия снята";"Наконец, она заговорила по-немецки, как чеховская Шарлотта о тоске одиночества, о безотцовщине."
" яалёжят ен ыб илсе ,еджерп как";"аксот";"как прежде, если бы не тяжёлая";"тоска";" ";"на сердце у Маруси.";"Александр Дорофеев. Эле-Фантик // «Мурзилка», 2003";"Александр Дорофеев";"";"Эле-Фантик";"2003";"художественная";"рассказ";"";"«Мурзилка»";"2003";"журнал";"омонимия снята";"Море успокоилось, выглянуло солнце, и всё было бы, как прежде, если бы не тяжёлая тоска на сердце у Маруси."
" яакат ьсалащущо иинеживд момас в ,хи";"аксот";"их, в самом движении ощущалась такая";"тоска";", ";"что она, пожалуй, и окрашивала здешнее";"Александр Дорофеев. Эле-Фантик // «Мурзилка», 2003";"Александр Дорофеев";"";"Эле-Фантик";"2003";"художественная";"рассказ";"";"«Мурзилка»";"2003";"журнал";"омонимия снята";"Эле-Фантик не мог как следует разглядеть этих веероносцев, но в облике их, в самом движении ощущалась такая тоска, что она, пожалуй, и окрашивала здешнее небо в унылый цвет."
" ачиворимидалВ яигроеГ ан илидован ыровогзар итЭ";"уксот";"Эти разговоры наводили на Георгия Владимировича";"тоску";". ";"";"Вадим Крейд. Георгий Иванов в Йере // «Звезда», 2003";"Вадим Крейд";"";"Георгий Иванов в Йере";"2003";"нехудожественная | учебно-научная";"биография";"искусство и культура";"«Звезда»";"2003";"журнал";"омонимия снята";"Эти разговоры наводили на Георгия Владимировича тоску."
" йокдалс и йоньланаБ ";"иксот";"Банальной и сладкой";"тоски";" ";"";"Вадим Крейд. Георгий Иванов в Йере // «Звезда», 2003";"Вадим Крейд";"";"Георгий Иванов в Йере";"2003";"нехудожественная | учебно-научная";"биография";"искусство и культура";"«Звезда»";"2003";"журнал";"омонимия снята";"И не отзываются дрожью  Банальной и сладкой тоски  Поля с колосящейся рожью,"
" ачиворимидалВ яигроеГ ан оляеван иицаргимэ акитирк";"уксот";"критика эмиграции навеяло на Георгия Владимировича";"тоску";": """;"Он начал так академически скучно, о";"Вадим Крейд. Георгий Иванов в Йере // «Звезда», 2003";"Вадим Крейд";"";"Георгий Иванов в Йере";"2003";"нехудожественная | учебно-научная";"биография";"искусство и культура";"«Звезда»";"2003";"журнал";"омонимия снята";"Первое же письмо первого критика эмиграции навеяло на Георгия Владимировича тоску: ""Он начал так академически скучно, о каких-то ямбах, что я скис""."
" ,юьтсург йолтевС ";"юоксот";"Светлой грустью,";"тоскою";" ";"";"Илья Петрусенко. Я вдыхаю ветер воли… // «Народное творчество», 2003";"Илья Петрусенко";"";"Я вдыхаю ветер воли…";"2003";"нехудожественная | публицистика";"статья";"искусство и культура";"«Народное творчество»";"2003";"журнал";"омонимия снята";"Это оттуда четверостишие, отмеченное свежестью и силой эмоционального воздействия:  Светлой грустью, тоскою  Переполнена грудь…"
" яанничирпсеб ьсализарто йороток в ,""етохо йонитУ";"аксот";"Утиной охоте"", в которой отразилась беспричинная";"тоска";" ";"советского человека..";"Анонс спектакля (2003)";"";"";"Анонс спектакля";"2003";"нехудожественная | реклама";"анонс";"искусство и культура";"";"";"электронный текст";"омонимия снята";"Хабенский сыграет Зилова, а Пореченков ― его соратника Официанта в самой, наверное, важной драме СССР ― вампиловской ""Утиной охоте"", в которой отразилась беспричинная тоска советского человека.."
" юунрёч ,юунжёданзеб в ,ьтсе от ― монилпс";"уксот";"сплином ― то есть, в безнадёжную, чёрную";"тоску";". ";"";"Омский мусорный абзац // «Криминальная хроника», 2003.06.10";"";"";"Омский мусорный абзац";"2003";"нехудожественная | публицистика";"статья";"политика и общественная жизнь";"«Криминальная хроника»";"2003.06.10";"газета";"омонимия снята";"И судя по всему, сначала, простите за выражение, офонарели, а потом впали в состояние, которое ещё Пушкин называл сплином ― то есть, в безнадёжную, чёрную тоску."
" хи ужив онневтсвя Я ― ";"уксот";"― Я явственно вижу их";"тоску";" ";"по родине, по земле, в которой";"Прихожан ждут на родине // «Жизнь национальностей», 2003.06.18";"";"";"Прихожан ждут на родине";"2003";"нехудожественная | публицистика";"статья";"религия";"«Жизнь национальностей»";"2003.06.18";"журнал";"омонимия снята";"― Я явственно вижу их тоску по родине, по земле, в которой обрели вечный покой их усопшие родственники."
" окьлот ен отэ ― м-08 оп яигьлатсоН";"аксот";"Ностальгия по 80-м ― это не только";"тоска";" ";"по юности, совпавшей с концом эпохи";"Александр Братерский. Тото да Си Си. Звезды 80-х выступят на фестивале-дискотеке в «Лужниках» // «Известия», 2002.11.24";"Александр Братерский";"";"Тото да Си Си. Звезды 80-х выступят на фестивале-дискотеке в «Лужниках»";"2002";"нехудожественная | публицистика";"рецензия";"искусство и культура";"«Известия»";"2002.11.24";"газета";"омонимия снята";"Ностальгия по 80-м ― это не только тоска по юности, совпавшей с концом эпохи Брежнева и началом времени политических перемен."
""" ливатсдерп ртаеТ ";"уксоТ";"Театр представил """;"Тоску";""", ";"которую в отдельные дни давал дважды";"Лариса Залесова-Докторова. Из Новосибирска. Мороз и новосибирская опера // «Звезда», 2002";"Лариса Залесова-Докторова";"";"Из Новосибирска. Мороз и новосибирская опера";"2002";"нехудожественная | публицистика";"статья";"искусство и культура";"«Звезда»";"2002";"журнал";"омонимия снята";"Театр представил ""Тоску"", которую в отдельные дни давал дважды, и каждый раз зал был полон."
""" оп уммаргорп ,итатсК ";"ексоТ";"Кстати, программу по """;"Тоске";""" ";"Пуччини мне помогал ставить хореограф из";"Николай Зуев. Ирина Слуцкая - снежная королева // «100% здоровья», 2002.11.11";"Николай Зуев";"";"Ирина Слуцкая - снежная королева";"2002";"нехудожественная | публицистика";"интервью";"спорт";"«100% здоровья»";"2002.11.11";"журнал";"омонимия снята";"Кстати, программу по ""Тоске"" Пуччини мне помогал ставить хореограф из Италии Джузеппе Арена, который работал в знаменитой ""Ла Скала""."
" :иманотребо имывон ёсв яитивзар ерем оп";"иксот";"по мере развития всё новыми обертонами:";"тоски";", ";"опустошённости, гнева, надежды, отчаянья.";"Наталья Игрунова. Грустные люди. Журнальное обозрение // «Известия», 2002.03.26";"Наталья Игрунова";"";"Грустные люди. Журнальное обозрение";"2002";"нехудожественная | публицистика";"обзор";"искусство и культура";"«Известия»";"2002.03.26";"газета";"омонимия снята";"Тема, обрастающая по мере развития всё новыми обертонами: тоски, опустошённости, гнева, надежды, отчаянья."
""" и тудйодоп ,огоксненнА меинеровтохитс мыбюл с";"аксоТ";"с любым стихотворением Анненского, подойдут и """;"Тоска";" ";"маятника"", и ""Зимний сон"" (""Вот газеты";"Александр Кушнер. Почему они не любили Чехова? // «Звезда», 2002";"Александр Кушнер";"";"Почему они не любили Чехова?";"2002";"нехудожественная | публицистика";"эссе";"искусство и культура";"«Звезда»";"2002";"журнал";"омонимия снята";"""Скучную историю"" можно сравнить едва ли не с любым стихотворением Анненского, подойдут и ""Тоска маятника"", и ""Зимний сон"" (""Вот газеты свежий нумер…""), и ""Лира часов""…"
