"Lang";"Reversed left context";"Reversed center";"Left context";"Center";"Punct";"Right context";"Title";"Author";"Birthday";"Header";"Created";"Sphere";"Type";"Topic";"Publication";"Publ_year";"Medium";"Ambiguity";"Full context";"Para context 1";"Lang 1"
"ru";" то ен и вотарип или вецмезут";"иксот";"туземцев или пиратов и не от";"тоски";" ";"по дому, а от непонятной болезни";"Yuval Noah Harari. Sapiens: A Brief History of Humankind (2014) | Юваль Ной Харари. Sapiens. Краткая история человечества (Л. Б. Сумм, 2016)";"Yuval Noah Harari";"1976";"Sapiens: A Brief History of Humankind";"2014";"учебно-научная";"";"";"";"";"";"омонимия не снята";"И погибали они не от рук свирепых туземцев или пиратов и не от тоски по дому, а от непонятной болезни под названием цинга.";" The nemesis was not angry natives, enemy warships or homesickness. It was a mysterious ailment called scurvy. ";"en"
"ru";" ьтагебзи и 7 янвору огонтяирп енлопв";"иксот";"вполне приятного уровня 7 и избегать";"тоски";" ";"уровня 3.";"Yuval Noah Harari. Sapiens: A Brief History of Humankind (2014) | Юваль Ной Харари. Sapiens. Краткая история человечества (Л. Б. Сумм, 2016)";"Yuval Noah Harari";"1976";"Sapiens: A Brief History of Humankind";"2014";"учебно-научная";"";"";"";"";"";"омонимия не снята";"Человек со средним уровнем счастья 5 не будет скакать от радости, но хороший брак позволит ему время от времени достигать вполне приятного уровня 7 и избегать тоски уровня 3.";" Somebody born with an average of level five happiness would never dance wildly in the streets. But a good marriage should enable her to enjoy level seven from time to time, and to avoid the despondency of level three. ";"en"
"ru";" и алыб мороток в ,иброкс ьлпов";"аксот";"вопль скорби, в котором была и";"тоска";", ";"и боль, и торжество.";"Людмила Улицкая. Зеленый шатер (2011) | Liudmila Ulitskaia. The Big Green Tent (Bela Shayevich, 2014)";"Людмила Улицкая";"1943";"Зеленый шатер";"2011";"художественная";"";"";"";"";"";"омонимия не снята";"Потом сверху звук обрушился вниз, и слов почти никаких не было, потому что это был плач по умершему — древний, ни в каких словах не нуждающийся вопль скорби, в котором была и тоска, и боль, и торжество.";" When the sound reached its apex, it came crashing down, nearly wordless, because it was mourning the dead. It was an ancient keening beyond the need for words, a howl of despair filled with great pain, and longing, and solemnity. ";"en"
"ru";" юунсажу а ,ьлоб ен лавовтсвуч но";"уксот";"он чувствовал не боль, а ужасную";"тоску";". ";"";"Людмила Улицкая. Зеленый шатер (2011) | Liudmila Ulitskaia. The Big Green Tent (Bela Shayevich, 2014)";"Людмила Улицкая";"1943";"Зеленый шатер";"2011";"художественная";"";"";"";"";"";"омонимия не снята";"Фотоаппарат вдавился ему в живот, но он чувствовал не боль, а ужасную тоску.";" He felt no pain, but rather a terrible despair. ";"en"
"ru";" и ,ьлачеп и ,яинадыр и ызелс";"аксот";"слезы и рыдания, и печаль, и";"тоска";", ";"и даже, может, страшное чувство вины.";"Людмила Улицкая. Зеленый шатер (2011) | Liudmila Ulitskaia. The Big Green Tent (Bela Shayevich, 2014)";"Людмила Улицкая";"1943";"Зеленый шатер";"2011";"художественная";"";"";"";"";"";"омонимия не снята";"И не потому, что слезы и рыдания, и печаль, и тоска, и даже, может, страшное чувство вины.";" Not, however, due to tears and sobbing, loss and grief, or even, perhaps, regret accompanied by a sense of guilt. ";"en"
"ru";" алелодо гурдв он ,мокитсовх с иледен";"аксот";"недели с хвостиком, но вдруг одолела";"тоска";", ";"и сорвался он преждевременно.";"Людмила Улицкая. Зеленый шатер (2011) | Liudmila Ulitskaia. The Big Green Tent (Bela Shayevich, 2014)";"Людмила Улицкая";"1943";"Зеленый шатер";"2011";"художественная";"";"";"";"";"";"омонимия не снята";"Знал только, что месяца не прошло, как он ее навещал, а всего две недели с хвостиком, но вдруг одолела тоска, и сорвался он преждевременно.";" He only knew that it hadn't even been a full month since he had last visited her, but just over two weeks. And already he was filled with longing; he couldn't contain himself. ";"en"
"ru";" и ,ьлачеп и ,яинадыр и ызелс";"аксот";"слезы и рыдания, и печаль, и";"тоска";". ";"";"Людмила Улицкая. Зеленый шатер (2011) | Liudmila Ulitskaia. The Big Green Tent (Bela Shayevich, 2014)";"Людмила Улицкая";"1943";"Зеленый шатер";"2011";"художественная";"";"";"";"";"";"омонимия не снята";"Похороны были горше горького — и не потому, что слезы и рыдания, и печаль, и тоска.";" The funeral was a sad and bitter affair. Not, however, due to tears and sobbing, loss and grief, or even, perhaps, regret accompanied by a sense of guilt. ";"en"
"ru";" алитущо ,юьтретакс йоняньл йотавобург юутыркоп ,уциншелотс";"уксот";"столешницу, покрытую грубоватой льняной скатертью, ощутила";"тоску";" ";"по отцу.";"Людмила Улицкая. Зеленый шатер (2011) | Liudmila Ulitskaia. The Big Green Tent (Bela Shayevich, 2014)";"Людмила Улицкая";"1943";"Зеленый шатер";"2011";"художественная";"";"";"";"";"";"омонимия не снята";"Сели за длинный овальный стол, отреставрированный отцом, и Ольга, положив вымытые руки на столешницу, покрытую грубоватой льняной скатертью, ощутила тоску по отцу.";" They all sat down at the long, oval table, which had been restored by Afanasy Mikhailovich, and Olga, placing her clean hands on the rough linen tablecloth, suddenly felt a pang of longing for her father. ";"en"
"ru";" юунтум ьшил ,йинавижереп хыртсо акоп олавадзос";"уксот";"создавало пока острых переживаний, лишь мутную";"тоску";". ";"";"Людмила Улицкая. Зеленый шатер (2011) | Liudmila Ulitskaia. The Big Green Tent (Bela Shayevich, 2014)";"Людмила Улицкая";"1943";"Зеленый шатер";"2011";"художественная";"";"";"";"";"";"омонимия не снята";"Его будущее еще не успело прорасти, созреть и не создавало пока острых переживаний, лишь мутную тоску.";" His future had still not managed to take root and ripen; it had not yet given way to anguished experiences, only a dull longing. ";"en"
"ru";" о ,йомьт йотэ с иитиос о";"ексот";"о соитии с этой тьмой, о";"тоске";", ";"которая его охватила после этого славного";"Людмила Улицкая. Зеленый шатер (2011) | Liudmila Ulitskaia. The Big Green Tent (Bela Shayevich, 2014)";"Людмила Улицкая";"1943";"Зеленый шатер";"2011";"художественная";"";"";"";"";"";"омонимия не снята";"И что же — разве возможно рассказать Лизе о дворницкой, о темноте, о соитии с этой тьмой, о тоске, которая его охватила после этого славного мужского дела?";" And anyway, could he have admitted to Liza about the storeroom, about the darkness, about the coitus with this pitch-darkness, about the anguish that gripped him after this celebrated manly act? ";"en"
